"Geography (2,3)",Age group,Sex,Indicators,"Characteristics (50,51,52,53,54,71,84,87)",2013
"Saskatoon Regional Health Authority, Saskatchewan [4706-A] ","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,69.4
"Saskatoon Regional Health Authority, Saskatchewan [4706-A] ","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,84
"Saskatoon Regional Health Authority, Saskatchewan [4706-A] ","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,80.4
"Saskatoon Regional Health Authority, Saskatchewan [4706-A] ","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,25.5
"Saskatoon Regional Health Authority, Saskatchewan [4706-A] ","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,7.7
"Saskatoon Regional Health Authority, Saskatchewan [4706-A] ","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,29.5
"Saskatoon Regional Health Authority, Saskatchewan [4706-A] ","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,20.6
"Saskatoon Regional Health Authority, Saskatchewan [4706-A] ","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,2.9
"Heartland Regional Health Authority, Saskatchewan [4707-D] ","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,92.9
"Heartland Regional Health Authority, Saskatchewan [4707-D] ","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,20.3
"Heartland Regional Health Authority, Saskatchewan [4707-D] ","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,5.6
"Heartland Regional Health Authority, Saskatchewan [4707-D] ","Total, 12 years and over",Both sexes,Asthma (24),Percent,11
"Heartland Regional Health Authority, Saskatchewan [4707-D] ","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,18.6
"Heartland Regional Health Authority, Saskatchewan [4707-D] ","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,17.9
"Heartland Regional Health Authority, Saskatchewan [4707-D] ","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,11.1
"Heartland Regional Health Authority, Saskatchewan [4707-D] ","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,36.5
"Heartland Regional Health Authority, Saskatchewan [4707-D] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,43.3
"Heartland Regional Health Authority, Saskatchewan [4707-D] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,56.7
"Heartland Regional Health Authority, Saskatchewan [4707-D] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,66.3
"Heartland Regional Health Authority, Saskatchewan [4707-D] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,F
"Heartland Regional Health Authority, Saskatchewan [4707-D] ","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,81.2
"Heartland Regional Health Authority, Saskatchewan [4707-D] ","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,72
"Heartland Regional Health Authority, Saskatchewan [4707-D] ","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,72.4
"Heartland Regional Health Authority, Saskatchewan [4707-D] ","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,28.6
"Heartland Regional Health Authority, Saskatchewan [4707-D] ","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,8.7
"Heartland Regional Health Authority, Saskatchewan [4707-D] ","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,F
"Heartland Regional Health Authority, Saskatchewan [4707-D] ","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,16.7
"Heartland Regional Health Authority, Saskatchewan [4707-D] ","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,F
"Kelsey Trail Regional Health Authority, Saskatchewan [4708-D] ","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,85.9
"Kelsey Trail Regional Health Authority, Saskatchewan [4708-D] ","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,22.9
"Kelsey Trail Regional Health Authority, Saskatchewan [4708-D] ","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,7.7
"Kelsey Trail Regional Health Authority, Saskatchewan [4708-D] ","Total, 12 years and over",Both sexes,Asthma (24),Percent,F
"Kelsey Trail Regional Health Authority, Saskatchewan [4708-D] ","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,25.7
"Kelsey Trail Regional Health Authority, Saskatchewan [4708-D] ","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,21.7
"Kelsey Trail Regional Health Authority, Saskatchewan [4708-D] ","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,17.7
"Kelsey Trail Regional Health Authority, Saskatchewan [4708-D] ","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,38.5
"Kelsey Trail Regional Health Authority, Saskatchewan [4708-D] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,57.8
"Kelsey Trail Regional Health Authority, Saskatchewan [4708-D] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,42.2
"Kelsey Trail Regional Health Authority, Saskatchewan [4708-D] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,65.7
"Kelsey Trail Regional Health Authority, Saskatchewan [4708-D] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,F
"Kelsey Trail Regional Health Authority, Saskatchewan [4708-D] ","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,80.5
"Kelsey Trail Regional Health Authority, Saskatchewan [4708-D] ","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,79.7
"Kelsey Trail Regional Health Authority, Saskatchewan [4708-D] ","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,77.8
"Kelsey Trail Regional Health Authority, Saskatchewan [4708-D] ","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,32.5
"Kelsey Trail Regional Health Authority, Saskatchewan [4708-D] ","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,6.9
"Kelsey Trail Regional Health Authority, Saskatchewan [4708-D] ","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,F
"Kelsey Trail Regional Health Authority, Saskatchewan [4708-D] ","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,18.6
"Kelsey Trail Regional Health Authority, Saskatchewan [4708-D] ","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,F
"Prince Albert Parkland Regional Health Authority, Saskatchewan [4709-H] ","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,89.9
"Prince Albert Parkland Regional Health Authority, Saskatchewan [4709-H] ","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,25.5
"Prince Albert Parkland Regional Health Authority, Saskatchewan [4709-H] ","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,5.6
"Prince Albert Parkland Regional Health Authority, Saskatchewan [4709-H] ","Total, 12 years and over",Both sexes,Asthma (24),Percent,4.4
"Prince Albert Parkland Regional Health Authority, Saskatchewan [4709-H] ","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,14.8
"Prince Albert Parkland Regional Health Authority, Saskatchewan [4709-H] ","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,22.1
"Prince Albert Parkland Regional Health Authority, Saskatchewan [4709-H] ","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,14.3
"Prince Albert Parkland Regional Health Authority, Saskatchewan [4709-H] ","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,42
"Prince Albert Parkland Regional Health Authority, Saskatchewan [4709-H] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,59.5
"Prince Albert Parkland Regional Health Authority, Saskatchewan [4709-H] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,40.5
"Prince Albert Parkland Regional Health Authority, Saskatchewan [4709-H] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,61.8
"Prince Albert Parkland Regional Health Authority, Saskatchewan [4709-H] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,49.9
"Prince Albert Parkland Regional Health Authority, Saskatchewan [4709-H] ","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,64.9
"Prince Albert Parkland Regional Health Authority, Saskatchewan [4709-H] ","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,87.8
"Prince Albert Parkland Regional Health Authority, Saskatchewan [4709-H] ","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,84.7
"Prince Albert Parkland Regional Health Authority, Saskatchewan [4709-H] ","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,27.3
"Prince Albert Parkland Regional Health Authority, Saskatchewan [4709-H] ","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,5.9
"Prince Albert Parkland Regional Health Authority, Saskatchewan [4709-H] ","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,22.2
"Prince Albert Parkland Regional Health Authority, Saskatchewan [4709-H] ","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,16.3
"Prince Albert Parkland Regional Health Authority, Saskatchewan [4709-H] ","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,F
"Prairie North Regional Health Authority, Saskatchewan [4710-H] ","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,95
"Prairie North Regional Health Authority, Saskatchewan [4710-H] ","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,10.6
"Prairie North Regional Health Authority, Saskatchewan [4710-H] ","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,4.4
"Prairie North Regional Health Authority, Saskatchewan [4710-H] ","Total, 12 years and over",Both sexes,Asthma (24),Percent,4.5
"Prairie North Regional Health Authority, Saskatchewan [4710-H] ","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,18.9
"Prairie North Regional Health Authority, Saskatchewan [4710-H] ","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,30.4
"Prairie North Regional Health Authority, Saskatchewan [4710-H] ","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,21.7
"Prairie North Regional Health Authority, Saskatchewan [4710-H] ","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,44.5
"Prairie North Regional Health Authority, Saskatchewan [4710-H] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,54.4
"Prairie North Regional Health Authority, Saskatchewan [4710-H] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,45.6
"Prairie North Regional Health Authority, Saskatchewan [4710-H] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,59.9
"Prairie North Regional Health Authority, Saskatchewan [4710-H] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,F
"Prairie North Regional Health Authority, Saskatchewan [4710-H] ","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,68
"Prairie North Regional Health Authority, Saskatchewan [4710-H] ","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,76.6
"Prairie North Regional Health Authority, Saskatchewan [4710-H] ","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,76.3
"Prairie North Regional Health Authority, Saskatchewan [4710-H] ","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,22.9
"Prairie North Regional Health Authority, Saskatchewan [4710-H] ","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,6.1
"Prairie North Regional Health Authority, Saskatchewan [4710-H] ","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,18.7
"Prairie North Regional Health Authority, Saskatchewan [4710-H] ","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,15.8
